beset                                               괴롭히다
brood                                               (화나는일을)되씹다
forestall                                           미연에 방지하다
crackdown                                           탄압

commiseration                                       위로
haunting                                            잊을 수 없는
prowl                                               서성거리다
measured                                            신중한
criticism                                           비판
fled                                                flee과거형
flew                                                fly과거형

concern                                             고려
concerning                                          ~에 관한
swamp                                               늪/(일이)쇄도하다
wetland                                             습지
bring in                                            끌어들이다
year-round                                          연중(1년내내)
abuse                                               학대
charge                                              혐의
investigation                                       수사     
suspected                                           의심되는 
bung                                                (툭)던지다
hinder                                              방해하다
hasten                                              서둘러하다
disinfect                                           소독하다
bureaucratic                                        관료주의적인   
lodge                                               오두막
choosy                                              까다로운
coincidental                                        우연의
administration                                      (행정)관리     
dogged                                              끈덕진
outright                                            명백한
prop                                                버팀목
fad                                                 유행
institute                                           협회/도입하다
blemish                                             (피부의)티/흠
bail                                                보석(금)
crate                                               상자
barefaced                                           뻔뻔한
formidable                                          어마어마한
