devastate                                                   엄청난 충격을 주다
lethal                                                      치명적인
seclusion                                                   은둔/격리
makeup                                                      (사물의)구조
educated guess                                              경험에서 우러난 추측   
seagull                                                     갈매기
oil rig                                                     석유 굴착 장치
offshore                                                    바다위의
hideouts                                                    은거지
defect                                                      망명하다/변절하다
somehow                                                     어쨋든
dispatch                                                    파견하다/보내다
obedient                                                    순종하는
ploy                                                        계책

Come across                                                 우연히 만나다
reach out                                                  ~와 접촉하려고 하다 
reach out to                                                연락하다/도움을 요청하다
Not when 절                                                ~할 때는 예외다
word came in that 절                                       ~소식이 들려왓다
be done with someone                                       ~와 끝을 보다
go by                                                       지나가다
go up against                                              ~와 맞서다
go after                                                   ~를 추적하다
What's [something] for?                                    [s.t]은 왜 그래?
territorial waters                                          영해
decoy                                                       미끼
flatline                                                    심장이 정지하다
left behind                                                 버려두다
put out (fires)                                             불을 끄다/진압하다
take care of (personally)                                   직접처리하다
give a crap (about something)                               신경 쓰다
word                                                        소식
came in                                                     들어왓다
crap                                                        헛소리
