querulous                                                   불평이 많은
quiescent                                                   정지한
quixotic                                                    돈키호테식의, 비현실적인
recant                                                      철회하다
recondite                                                   난해한
redress                                                     바로잡다

reclusive                                                   은둔적인
redundant                                                   불필요한
refute                                                      반박하다
vivacious                                                   활발한
vociferous(발음)                                            시끄러운
volatile                                                    변덕스러운
voluminous                                                  방대한
voracious                                                   탐욕스러운
wallow                                                      탐닉하다

goes on to 부정사                                           계속해서 ~하다
settle for                                                  대체하다
go back on                                                  약속을 어기다
follow up on                                               ~을 추적조사하다
get ahead                                                   성공하다
