bullish                                                     희망에찬
authenticate                                                진짜임을 증명하다
predominantly                                               대부분
pleasing                                                    호감가는
deviation                                                   탈선
headlong                                                    성급하게

condemnation                                                비난
demoralize                                                  사기를 꺾다
brace                                                       버팀대
amiss                                                       잘못된
recognize                                                   공인받다

grove                                                       수풀
allowance                                                   용돈/허용량
make up for                                                 보상하다
residual                                                    잉여
acceptance                                                  받아들임
apply                                                       제공하다/지원하다
coastal                                                     해안의
disappearance                                               실종
erosion                                                     부식/침식
monastery                                                   수도원
nun                                                         수녀
belief                                                      신념
reborn                                                      (영적으로)거듭난/환생한
carry out                                                   실천하다
dominant                                                    우세한
fairly                                                      상당히
arouse                                                      자극하다
disperse                                                    흩어지다
muffle                                                      (소리를)죽이다/감싸다
cohort                                                      집단
onset                                                       (안좋은일의)시작
