stochastic                                                  확률론적
fluke                                                       요행
acute                                                       격심한
serve as                                                    ~의 역할을하다
having to do with                                           ~와 관련된
variant                                                     변종

dawdle                                                      꾸물거리다
delirious                                                   의식이 혼미한
Attribution                                                 원인규명
avert                                                       방지하다
daunt                                                       기죽게하다
arrant                                                      (안좋은강조)순전한
practitioners                                               전문직종사자
Institute                                                   대학
speculate                                                   추측하다
Invariant                                                   변치않는
coverage                                                    범위

comprehensive                                               종합적인         
Colophon                                                    출판사 이름
respective                                                  각자의
appendix                                                    부록
repel point                                                 반발점
repel                                                       밀어내다
hyperbola                                                   쌍곡선
catastrophe                                                 재앙
most-wanted                                                 지명수배
rock                                                        뒤흔들다
code                                                        규범
blew off                                                    바람에 날려 벗어나다
course                                                      경로
