chant                                                       구호          
intact                                                      온전한
conducive                                                   ~에 좋은
conductive                                                  전도성의
harry                                                       괴롭히다

ersatz                                                      모조품의
quell                                                       진압[평정]하다
ossify                                                      경화되다
deduct                                                      공제하다

addled                                                      혼란스러운
fraught                                                     걱정스러운
mediocrity                                                  평범
numb                                                        감각이 없는
mockery                                                     조롱
quaint                                                      진기한
arable                                                      곡식을 경작하는
gyrate                                                      선회하다
airing                                                      발표
integral                                                    필수적인
disenchanted                                                환상이깨진
asylum                                                      망명
gimmick                                                     술책/장치
hem                                                         (옷의)단
mundane                                                     일상적인/재미없는
chop                                                        썰다
din                                                         소음
attic                                                       다락(방)
blotch                                                      반점
incurable                                                   치유할 수 없는
intoxicated                                                 도취된
dropout                                                     중퇴자
intermittent                                                간헐적인
