abrupt                                                      갑작스러운

desist                                                      (…을)그만두다
idiomatic                                                   자연스러운    
plot                                                        경작지/작은 땅 조각
launder                                                     세탁하다
loom                                                        어렴풋이 보이다

boggle                                                      주춤하다
coagluate                                                   응고시키다
cherish                                                     소중히 여기다
treasure                                                    소중히 여기다
lenient                                                     관대한
despair                                                     절망하다
the polish border                                           폴란드 국경
war-torn                                                    전쟁에 짓밟힌
accusation                                                  비난/혐의 
confirm                                                     확정하다/공식화하다
moved out of                                                철수하다
have regained control                                       다시 장악하다
nought                                                      0
infuriate                                                   화나게 만들다
havoc                                                       대파괴
residue                                                     잔여물
muck                                                        배설물
drip                                                        뚝뚝 떨어뜨리다
bulky                                                       부피가 큰
choppy                                                      파도가 일렁이는
