contempt                                                    경멸
intent                                                      강한 관심을 보이는
depreciate                                                  평가절하하다
eradicate                                                   근절하다
erratic                                                     변덕스러운

fabricate                                                   제작하다
facet                                                       측면
fathom                                                      이해하다
dire                                                        지독한
exquisite                                                   정교한
eclectic                                                    절충적인
converge                                                    수렴하다
implicate                                                   연루시키다 
exploit                                                     착취하다 
eloquent                                                    유창한 

equitable                                                   공평한
epitomize                                                   전형적으로 보여주다
disparity                                                   불균형
congruent                                                   일치하는
confront                                                    직면하다
stigma                                                      오명/낙인   
famine                                                      기근 
harassment                                                  괴롭힘
hardship                                                    어려움
aftermath                                                   여파
humiliate                                                   굴욕을 주다
loathe                                                      혐오하다 
call off                                                    취소하다 
put off                                                     미루다 
catch up                                                    따라잡다 
come up with                                                생각해내다    





                                                
