frugal                                                      검소한
furtive                                                     몰래하는
garble                                                      왜곡하다
grievous                                                    비통한
grimace                                                     찡그림
heed                                                        주의를 기울이다

encourage                                                   격려하다
acupuncture                                                 침술 
while in office                                             재임중인
regulation                                                  규정
expulsion                                                   축출
collusion                                                   공모
sophisticated                                               수준 높은

direct                                                      지시하다
impetus                                                     자극
impair                                                      손상시키다
indefinitely                                                무기한으로
achivement                                                  성취
ominous                                                     불길한 
genial                                                      친절한
glaring                                                     현란한
haphazard                                                   무작위의
harness                                                     활용하다
hone                                                        갈다/연마하다
huddle                                                      웅크리다
impending                                                   임박한
impoverish                                                  빈곤하게 하다
incite                                                      선동하다
indulge                                                     탐닉하다
grapple                                                     씨름하다







                                                
